the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-74.01490742121644 40.64422975098537),4 Avenue,54 Street,06/19/2020 12:00:00 AM,-74.0149074212,40.644229751,980113.00006,173987.000173
POINT (-74.01549104811535 40.64366973796986),4 Avenue,55 Street,06/19/2020 12:00:00 AM,-74.0154910481,40.643669738,979951.000056,173783.000253
POINT (-74.01607106184765 40.64310972156069),4 Avenue,56 Street,06/19/2020 12:00:00 AM,-74.0160710618,40.6431097216,979790.00005,173579.000005
POINT (-74.01665106515925 40.64254695831228),4 Avenue,57 Street,06/19/2020 12:00:00 AM,-74.0166510652,40.6425469583,979629.000044,173374.000087
POINT (-74.01723466270543 40.64198693634327),4 Avenue,58 Street,06/19/2020 12:00:00 AM,-74.0172346627,40.6419869363,979467.00004,173170.000167
POINT (-74.01902501945035 40.64026292852239),4 Avenue,61 Street,06/19/2020 12:00:00 AM,-74.0190250195,40.6402629285,978970.000049,172542.00011
POINT (-74.0253592309298 40.630108736698425),4 Avenue,76 Street,06/19/2020 12:00:00 AM,-74.0253592309,40.6301087367,977210.999958,168842.999962
POINT (-74.02566157428792 40.62937855626741),4 Avenue,77 Street,06/19/2020 12:00:00 AM,-74.0256615743,40.6293785563,977127.000126,168577.000166
POINT (-74.02595670703397 40.628648375710526),4 Avenue,78 Street,06/19/2020 12:00:00 AM,-74.025956707,40.6286483757,977044.999962,168311.000042
POINT (-74.02626264086933 40.62792093755562),4 Avenue,79 Street,06/19/2020 12:00:00 AM,-74.0262626409,40.6279209376,976960.000132,168046.000244
POINT (-74.02656136201166 40.62718800972612),4 Avenue,80 Street,06/19/2020 12:00:00 AM,-74.026561362,40.6271880097,976876.99997,167779.000122
POINT (-74.02685647404518 40.62645782668961),4 Avenue,81 Street,06/19/2020 12:00:00 AM,-74.026856474,40.6264578267,976795.000134,167512.999998
POINT (-74.02773458274943 40.62430021365516),4 Avenue,84 Street,06/19/2020 12:00:00 AM,-74.0277345827,40.6243002137,976550.999966,166727.000257
POINT (-74.02803687496221 40.623572770412885),4 Avenue,85 Street,06/19/2020 12:00:00 AM,-74.028036875,40.6235727704,976467.000134,166462.000131
POINT (-74.0286810135076 40.62199710093139),4 Avenue,87 Street,06/19/2020 12:00:00 AM,-74.0286810135,40.6219971009,976288.000164,165887.999967
POINT (-74.0295626030177 40.61983123766699),4 Avenue,90 Street,06/19/2020 12:00:00 AM,-74.029562603,40.6198312377,976042.999998,165099.000232
POINT (-74.02984326471596 40.61915320104693),4 Avenue,91 Street,06/19/2020 12:00:00 AM,-74.0298432647,40.619153201,975965.000154,164852.00007
POINT (-74.03017428965366 40.618340655922935),4 Avenue,92 Street,06/19/2020 12:00:00 AM,-74.0301742897,40.6183406559,975873.00001,164556.000006
POINT (-74.03048371848834 40.617583012148756),4 Avenue,93 Street,06/19/2020 12:00:00 AM,-74.0304837185,40.6175830121,975787.000182,164280.00023
POINT (-74.03316152942205 40.613401950004324),4 Avenue,99 Street,06/19/2020 12:00:00 AM,-74.0331615294,40.61340195,975043.000029,162756.999995
POINT (-74.03364748263566 40.612833636664526),4 Avenue,100 Street,06/19/2020 12:00:00 AM,-74.0336474826,40.6128336367,974907.999971,162550.000081
POINT (-74.03432780530187 40.612042934561174),4 Avenue,101 Street,06/19/2020 12:00:00 AM,-74.0343278053,40.6120429346,974719.000021,162262.000001
